MATURITY,COUPON,BID,ASKED,CHG,ASKED YIELD
5/15/2025,2.125,101.092,101.096,-0.188,1.888
5/31/2025,2.875,105.144,105.15,-0.876,1.89
6/30/2025,2.75,104.26,104.264,-0.874,1.892
7/31/2025,2.875,105.182,105.186,-0.87,1.895
8/15/2025,2,100.18,100.184,-0.862,1.899
8/15/2025,6.875,128.172,128.176,-0.904,1.899
8/31/2025,2.75,104.286,104.292,-0.874,1.899
9/30/2025,3,106.13,106.134,-0.876,1.902
10/31/2025,3,106.146,106.152,-0.884,1.906
11/15/2025,2.25,102.002,102.006,-0.192,1.91
11/30/2025,2.875,105.242,105.246,-0.878,1.912
12/31/2025,2.625,104.092,104.096,-0.202,1.915
1/31/2026,2.625,104.1,104.104,-0.202,1.92
2/15/2026,1.625,98.052,98.056,-0.198,1.92
2/15/2026,6,125.08,125.084,-0.234,1.91
2/28/2026,2.5,103.19,103.194,-0.88,1.919
3/31/2026,2.25,102.014,102.02,-0.202,1.922
4/30/2026,2.375,102.27,102.274,-0.896,1.925
5/15/2026,1.625,98.006,98.012,-0.196,1.932
5/31/2026,2.125,101.076,101.082,-0.204,1.929
6/30/2026,1.875,99.206,99.212,-0.888,1.927
8/15/2026,1.5,97.02,97.024,-0.212,1.942
8/15/2026,6.75,131.274,131.28,-0.946,1.928
11/15/2026,2,100.114,100.12,-0.898,1.945
11/15/2026,6.5,131.024,131.03,-0.26,1.942
2/15/2027,2.25,102.026,102.032,-0.218,1.951
2/15/2027,6.625,132.264,132.27,-0.952,1.956
5/15/2027,2.375,102.316,103.002,-0.906,1.96
8/15/2027,2.25,102.012,102.016,-0.232,1.974
8/15/2027,6.375,132.26,132.264,-0.962,1.972
11/15/2027,2.25,102,102.004,-0.232,1.987
11/15/2027,6.125,131.26,131.264,-0.952,1.973
2/15/2028,2.75,105.294,105.3,-0.93,1.996
5/15/2028,2.875,106.316,107.002,-0.934,2.007
8/15/2028,2.875,107.022,107.026,-0.264,2.019
8/15/2028,5.5,128.304,128.31,-0.97,2.003
11/15/2028,3.125,109.09,109.094,-0.952,2.029
11/15/2028,5.25,127.146,127.152,-0.97,2.012
